threshold,pr_auc,roc_auc,precision,recall,f1,f2,true_negatives,false_positives,false_negatives,true_positives,false_positive_rate,reviewed_transactions,review_rate
0.8200000000000001,0.9997917196604756,0.9999921142999258,1.0,0.9986559139784946,0.9993275050437123,0.9989244420543156,1576313,0,6,4458,0.0,4458,0.0028201321248980723
0.67,0.9997917196604756,0.9999921142999258,0.9953166815343444,0.9997759856630825,0.9975413500223516,0.9988809310653537,1576292,21,1,4463,1.332222724801483e-05,4484,0.0028365797326251586
0.66,0.9997917196604756,0.9999921142999258,0.9948729380294249,0.9997759856630825,0.99731843575419,0.9987915137409364,1576290,23,1,4463,1.4591010795444813e-05,4486,0.0028378449332195498
0.8300000000000001,0.9997917196604756,0.9999921142999258,1.0,0.9984318996415771,0.999215334603744,0.9987451261596378,1576313,0,7,4457,0.0,4457,0.0028194995246008767
0.8400000000000001,0.9997917196604756,0.9999921142999258,1.0,0.9984318996415771,0.999215334603744,0.9987451261596378,1576313,0,7,4457,0.0,4457,0.0028194995246008767
0.85,0.9997917196604756,0.9999921142999258,1.0,0.9984318996415771,0.999215334603744,0.9987451261596378,1576313,0,7,4457,0.0,4457,0.0028194995246008767
0.65,0.9997917196604756,0.9999921142999258,0.9944295900178253,0.9997759856630825,0.9970956210902591,0.9987021124239169,1576288,25,1,4463,1.5859794342874797e-05,4488,0.002839110133813941
0.64,0.9997917196604756,0.9999921142999258,0.9942080641568278,0.9997759856630825,0.9969842510890204,0.9986574177668383,1576287,26,1,4463,1.649418611658979e-05,4489,0.0028397427341111366
0.63,0.9997917196604756,0.9999921142999258,0.9926601423487544,0.9997759856630825,0.9962053571428572,0.9983446671438796,1576280,33,1,4463,2.0934928532594732e-05,4496,0.002844170936191506
0.86,0.9997917196604756,0.9999921142999258,1.0,0.9977598566308243,0.99887867234806,0.9982070820259973,1576313,0,10,4454,0.0,4454,0.00281760172370929
0.62,0.9997917196604756,0.9999921142999258,0.9906770255271921,0.9997759856630825,0.9952057085516781,0.9979428469209785,1576271,42,1,4463,2.664445449602966e-05,4505,0.0028498643388662663
0.87,0.9997917196604756,0.9999921142999258,1.0,0.9968637992831542,0.9984294368409244,0.9974894647180131,1576313,0,14,4450,0.0,4450,0.0028150713225205074
0.88,0.9997917196604756,0.9999921142999258,1.0,0.9968637992831542,0.9984294368409244,0.9974894647180131,1576313,0,14,4450,0.0,4450,0.0028150713225205074
0.89,0.9997917196604756,0.9999921142999258,1.0,0.996415770609319,0.9982046678635548,0.9971305595408894,1576313,0,16,4448,0.0,4448,0.002813806121926116
0.9,0.9997917196604756,0.9999921142999258,1.0,0.9950716845878136,0.9975297552211991,0.9960534577092116,1576313,0,22,4442,0.0,4442,0.0028100105201429425
0.91,0.9997917196604756,0.9999921142999258,1.0,0.9941756272401434,0.9970793080206696,0.9953350677312282,1576313,0,26,4438,0.0,4438,0.0028074801189541597
0.92,0.9997917196604756,0.9999921142999258,1.0,0.9941756272401434,0.9970793080206696,0.9953350677312282,1576313,0,26,4438,0.0,4438,0.0028074801189541597
0.93,0.9997917196604756,0.9999921142999258,1.0,0.9939516129032258,0.9969666329625885,0.9951554299555914,1576313,0,27,4437,0.0,4437,0.002806847518656964
0.9400000000000001,0.9997917196604756,0.9999921142999258,1.0,0.9926075268817204,0.9962900505902191,0.9940772647731863,1576313,0,33,4431,0.0,4431,0.0028030519168737904
0.9500000000000001,0.9997917196604756,0.9999921142999258,1.0,0.9919354838709677,0.9959514170040485,0.9935379644588045,1576313,0,36,4428,0.0,4428,0.0028011541159822036
0.9600000000000001,0.9997917196604756,0.9999921142999258,1.0,0.9919354838709677,0.9959514170040485,0.9935379644588045,1576313,0,36,4428,0.0,4428,0.0028011541159822036
0.61,0.9997917196604756,0.9999921142999258,0.9685329861111112,0.9997759856630825,0.9839065255731924,0.9933671652421653,1576168,145,1,4463,9.198680718867382e-05,4608,0.0029150221694774154
0.97,0.9997917196604756,0.9999921142999258,1.0,0.9894713261648745,0.994707803175318,0.9915592870291383,1576313,0,47,4417,0.0,4417,0.002794195512713052
0.98,0.9997917196604756,0.9999921142999258,1.0,0.9894713261648745,0.994707803175318,0.9915592870291383,1576313,0,47,4417,0.0,4417,0.002794195512713052
0.6,0.9997917196604756,0.9999921142999258,0.954448246364414,0.9997759856630825,0.976586433260394,0.990369252618498,1576100,213,1,4463,0.00013512544780129327,4676,0.002958038989686717
0.59,0.9997917196604756,0.9999921142999258,0.9175575657894737,0.9997759856630825,0.9569039451114922,0.982174295774648,1575912,401,1,4463,0.00025439110125971174,4864,0.003076967845559494
0.99,0.9997917196604756,0.9999921142999258,1.0,0.9717741935483871,0.9856850715746422,0.9772911597729117,1576313,0,126,4338,0.0,4338,0.002744220089234598
0.5800000000000001,0.9997917196604756,0.9999921142999258,0.8455854490337249,0.9997759856630825,0.9162389653048655,0.9645975620299126,1575498,815,1,4463,0.0005170292955777183,5278,0.0033388643685984803
0.5700000000000001,0.9997917196604756,0.9999921142999258,0.6624610360694672,0.9997759856630825,0.7968931345415589,0.9073720164274387,1574039,2274,1,4463,0.0014426068934278915,6737,0.00426182820220689
1.0,0.9997917196604756,0.9999921142999258,1.0,0.8846326164874552,0.9387852133602758,0.9055262554459986,1576313,0,515,3949,0.0,3949,0.0024981385736255017
0.56,0.9997917196604756,0.9999921142999258,0.5761683449522335,0.9997759856630825,0.7310401310401311,0.8716115928443091,1573030,3283,1,4463,0.0020827081931063182,7746,0.00490012190207727
0.55,0.9997917196604756,0.9999921142999258,0.45480485070824417,0.9997759856630825,0.6252013728374308,0.8064982471357838,1570963,5350,1,4463,0.0033939959893752067,9813,0.006207706716380616
0.54,0.9997917196604756,0.9999921142999258,0.3538132234025686,0.9997759856630825,0.5226607331069212,0.7323596980636693,1568162,8151,1,4463,0.005170927347550899,12614,0.007979620148825545
0.53370001417114,0.9997917196604756,0.9999921142999258,0.2984685347421922,0.9997759856630825,0.45970026265643504,0.6801487396750892,1565823,10490,1,4463,0.006654769706270265,14953,0.0094592722439661
0.53,0.9997917196604756,0.9999921142999258,0.2803391959798995,0.9997759856630825,0.437892464678179,0.6606762198010422,1564856,11457,1,4463,0.007268226551452662,15920,0.010070996731354264
0.52,0.9997917196604756,0.9999921142999258,0.20718629590084026,0.9997759856630825,0.3432416842914824,0.5664136863212936,1559235,17078,1,4463,0.010834142711504631,21541,0.013626843001890843
